Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980
BEN,Benin,BJ,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-71,58483174"
BEN,Benin,BJ,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"327,7454063"
BEN,Benin,BJ,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"399,330238"
BEN,Benin,BJ,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-4,249204174"
BEN,Benin,BJ,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"19,45464024"
BEN,Benin,BJ,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"23,70384441"
BEN,Benin,BJ,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-107,5617158"
BEN,Benin,BJ,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-6,384756109"
BEN,Benin,BJ,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
BWA,Botswana,BW,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
BWA,Botswana,BW,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
BWA,Botswana,BW,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"1160,039354"
BWA,Botswana,BW,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"1207,941943"
BWA,Botswana,BW,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"795,6488379"
BWA,Botswana,BW,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"203,5006762"
BWA,Botswana,BW,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"592,1481617"
BWA,Botswana,BW,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"374,238025"
BWA,Botswana,BW,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"247,2246687"
BWA,Botswana,BW,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"127,0133563"
BWA,Botswana,BW,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"527,3407855"
BWA,Botswana,BW,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"627,1028338"
BWA,Botswana,BW,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"65,8681357"
BWA,Botswana,BW,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"16,84689214"
BWA,Botswana,BW,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"49,02124356"
BWA,Botswana,BW,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"30,98145795"
BWA,Botswana,BW,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"20,46660191"
BWA,Botswana,BW,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"10,51485604"
BWA,Botswana,BW,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"43,65613668"
BWA,Botswana,BW,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"51,91498132"
BWA,Botswana,BW,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"5,934375924"
BWA,Botswana,BW,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"417,2576371"
BWA,Botswana,BW,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"411,3232611"
BWA,Botswana,BW,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"0,4912798964"
BWA,Botswana,BW,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"34,54285528"
BWA,Botswana,BW,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"34,05157538"
BWA,Botswana,BW,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-308,0774996"
BWA,Botswana,BW,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-25,50433003"
BWA,Botswana,BW,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
BFA,Burkina Faso,BF,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
BFA,Burkina Faso,BF,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
BFA,Burkina Faso,BF,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"1159,515462"
BFA,Burkina Faso,BF,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"2121,664379"
BFA,Burkina Faso,BF,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"2067,680435"
BFA,Burkina Faso,BF,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"178,0048096"
BFA,Burkina Faso,BF,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"1889,675626"
BFA,Burkina Faso,BF,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"291,3701521"
BFA,Burkina Faso,BF,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"92,61444594"
BFA,Burkina Faso,BF,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"198,7557061"
BFA,Burkina Faso,BF,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"172,6301113"
BFA,Burkina Faso,BF,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"602,9649178"
BFA,Burkina Faso,BF,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"97,45558516"
BFA,Burkina Faso,BF,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"8,389866532"
BFA,Burkina Faso,BF,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"89,06571862"
BFA,Burkina Faso,BF,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"13,73309346"
BFA,Burkina Faso,BF,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"4,365178908"
BFA,Burkina Faso,BF,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"9,367914555"
BFA,Burkina Faso,BF,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"8,136541908"
BFA,Burkina Faso,BF,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"28,41942976"
BFA,Burkina Faso,BF,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-148,6579749"
BFA,Burkina Faso,BF,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"185,1134771"
BFA,Burkina Faso,BF,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"333,771452"
BFA,Burkina Faso,BF,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-7,006667805"
BFA,Burkina Faso,BF,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"8,72491799"
BFA,Burkina Faso,BF,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"15,73158579"
BFA,Burkina Faso,BF,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-40,77335598"
BFA,Burkina Faso,BF,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-1,921762763"
BFA,Burkina Faso,BF,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
BDI,Burundi,BI,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
BDI,Burundi,BI,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
BDI,Burundi,BI,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"544,4207523"
BDI,Burundi,BI,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"1167,643165"
BDI,Burundi,BI,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"931,9888889"
BDI,Burundi,BI,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"152,7333333"
BDI,Burundi,BI,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"779,2555556"
BDI,Burundi,BI,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"131,9555556"
BDI,Burundi,BI,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"58,03555556"
BDI,Burundi,BI,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"73,92"
