Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980
MWI,Malawi,MW,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
MWI,Malawi,MW,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"1004,944629"
MWI,Malawi,MW,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"1237,655461"
MWI,Malawi,MW,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"1104,30294"
MWI,Malawi,MW,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"238,7648751"
MWI,Malawi,MW,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"865,5380645"
MWI,Malawi,MW,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"306,2445819"
MWI,Malawi,MW,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"90,2602648"
MWI,Malawi,MW,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"215,9843171"
MWI,Malawi,MW,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"307,4759634"
MWI,Malawi,MW,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"480,3619277"
MWI,Malawi,MW,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"89,22539222"
MWI,Malawi,MW,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"19,2917078"
MWI,Malawi,MW,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"69,93368442"
MWI,Malawi,MW,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"24,74392846"
MWI,Malawi,MW,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"7,292842607"
MWI,Malawi,MW,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"17,45108586"
MWI,Malawi,MW,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"24,84342154"
MWI,Malawi,MW,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"38,81224967"
MWI,Malawi,MW,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-142,9626893"
MWI,Malawi,MW,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"298,6085457"
MWI,Malawi,MW,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"441,5712351"
MWI,Malawi,MW,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-11,55108944"
MWI,Malawi,MW,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"24,12695254"
MWI,Malawi,MW,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"35,67804199"
MWI,Malawi,MW,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-207,0724878"
MWI,Malawi,MW,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-16,73102849"
MWI,Malawi,MW,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
MLI,Mali,ML,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
MLI,Mali,ML,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
MLI,Mali,ML,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"1456,734427"
MLI,Mali,ML,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"1685,093057"
MLI,Mali,ML,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"1768,349574"
MLI,Mali,ML,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"206,4554214"
MLI,Mali,ML,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"1561,894153"
MLI,Mali,ML,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"276,4629786"
MLI,Mali,ML,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"80,52452441"
MLI,Mali,ML,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"195,9384542"
MLI,Mali,ML,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"262,6845952"
MLI,Mali,ML,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"520,1628038"
MLI,Mali,ML,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"104,9407667"
MLI,Mali,ML,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"12,25187063"
MLI,Mali,ML,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"92,68889609"
MLI,Mali,ML,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"16,40639236"
MLI,Mali,ML,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"4,778639617"
MLI,Mali,ML,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"11,62775274"
MLI,Mali,ML,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"15,58872931"
MLI,Mali,ML,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"30,8684913"
MLI,Mali,ML,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-80,4619467"
MLI,Mali,ML,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"285,8765708"
MLI,Mali,ML,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"366,3385175"
MLI,Mali,ML,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-4,774926011"
MLI,Mali,ML,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"16,96503167"
MLI,Mali,ML,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"21,73995768"
MLI,Mali,ML,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-148,0000305"
MLI,Mali,ML,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-8,782899549"
MLI,Mali,ML,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
MRT,Mauritania,MR,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
MRT,Mauritania,MR,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
MRT,Mauritania,MR,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"831,3370174"
MRT,Mauritania,MR,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,0
MRT,Mauritania,MR,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"734,1244503"
MRT,Mauritania,MR,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"321,1771436"
MRT,Mauritania,MR,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"412,9473067"
MRT,Mauritania,MR,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"186,4472698"
MRT,Mauritania,MR,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"50,18374456"
MRT,Mauritania,MR,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"136,2635253"
MRT,Mauritania,MR,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"261,0914193"
MRT,Mauritania,MR,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"472,6216945"
MRT,Mauritania,MR,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,0
MRT,Mauritania,MR,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,0
MRT,Mauritania,MR,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,0
MRT,Mauritania,MR,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,0
MRT,Mauritania,MR,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,0
MRT,Mauritania,MR,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,0
MRT,Mauritania,MR,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,0
MRT,Mauritania,MR,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,0
MRT,Mauritania,MR,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,0
MRT,Mauritania,MR,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,0
MRT,Mauritania,MR,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,0
MRT,Mauritania,MR,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,0
MRT,Mauritania,MR,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,0
MRT,Mauritania,MR,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,0
MRT,Mauritania,MR,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-155,0000309"
MRT,Mauritania,MR,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,0
MRT,Mauritania,MR,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
MUS,Mauritius,MU,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
MUS,Mauritius,MU,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
MUS,Mauritius,MU,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"1594,288143"
MUS,Mauritius,MU,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"1273,410505"
MUS,Mauritius,MU,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"1013,236096"
MUS,Mauritius,MU,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"159,2860238"
MUS,Mauritius,MU,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"853,9500722"
MUS,Mauritius,MU,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"234,6345596"
MUS,Mauritius,MU,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"190,5886703"
MUS,Mauritius,MU,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"44,04588929"
MUS,Mauritius,MU,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"579,1035997"
MUS,Mauritius,MU,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"695,1845909"
MUS,Mauritius,MU,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"79,56869307"
MUS,Mauritius,MU,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"12,5086155"
MUS,Mauritius,MU,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"67,06007757"
MUS,Mauritius,MU,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"18,42568117"
MUS,Mauritius,MU,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"14,96678955"
MUS,Mauritius,MU,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"3,458891624"
MUS,Mauritius,MU,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"45,47658415"
MUS,Mauritius,MU,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"54,59233989"
MUS,Mauritius,MU,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-133,055621"
MUS,Mauritius,MU,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"269,2297331"
MUS,Mauritius,MU,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"402,2853541"
MUS,Mauritius,MU,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-10,44876106"
MUS,Mauritius,MU,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"21,14241497"
MUS,Mauritius,MU,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"31,59117603"
MUS,Mauritius,MU,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-117,4164276"
MUS,Mauritius,MU,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-9,220626587"
MUS,Mauritius,MU,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
MAR,Morocco,MA,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
MAR,Morocco,MA,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
MAR,Morocco,MA,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"20104,10352"
MAR,Morocco,MA,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"18820,58906"
MAR,Morocco,MA,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"16025,22458"
MAR,Morocco,MA,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"3451,919716"
MAR,Morocco,MA,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"12573,30487"
MAR,Morocco,MA,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"4555,421302"
MAR,Morocco,MA,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"4297,877227"
MAR,Morocco,MA,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"257,5440755"
MAR,Morocco,MA,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"3429,508678"
MAR,Morocco,MA,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"5189,583775"
MAR,Morocco,MA,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"85,14730616"
MAR,Morocco,MA,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"18,3411885"
MAR,Morocco,MA,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"66,80611766"
MAR,Morocco,MA,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"24,20445656"
MAR,Morocco,MA,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"22,8360399"
MAR,Morocco,MA,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"1,368416657"
MAR,Morocco,MA,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"18,22211126"
MAR,Morocco,MA,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"27,57397103"
MAR,Morocco,MA,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-1887,588846"
MAR,Morocco,MA,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"3540,109727"
MAR,Morocco,MA,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"5427,698573"
MAR,Morocco,MA,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-10,0293824"
MAR,Morocco,MA,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"18,80977113"
MAR,Morocco,MA,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"28,83915353"
MAR,Morocco,MA,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-884,4197896"
MAR,Morocco,MA,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-4,69921418"
MAR,Morocco,MA,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
MOZ,Mozambique,MZ,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
MOZ,Mozambique,MZ,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
MOZ,Mozambique,MZ,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"2203,864696"
MOZ,Mozambique,MZ,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"4615,048764"
MOZ,Mozambique,MZ,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"3838,876483"
MOZ,Mozambique,MZ,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"428,6393294"
MOZ,Mozambique,MZ,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"3410,237154"
MOZ,Mozambique,MZ,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"269,1341411"
MOZ,Mozambique,MZ,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"185,2606113"
MOZ,Mozambique,MZ,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"83,87352989"
MOZ,Mozambique,MZ,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"383,0179458"
MOZ,Mozambique,MZ,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"964,7624713"
MOZ,Mozambique,MZ,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"83,18171008"
MOZ,Mozambique,MZ,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"9,287861327"
MOZ,Mozambique,MZ,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"73,89384875"
MOZ,Mozambique,MZ,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"5,831664082"
MOZ,Mozambique,MZ,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"4,01427202"
MOZ,Mozambique,MZ,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"1,817392062"
MOZ,Mozambique,MZ,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"8,299326083"
MOZ,Mozambique,MZ,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"20,90470807"
MOZ,Mozambique,MZ,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-68,05157593"
MOZ,Mozambique,MZ,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"587,8796562"
MOZ,Mozambique,MZ,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"655,9312321"
MOZ,Mozambique,MZ,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-1,474558112"
MOZ,Mozambique,MZ,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"12,73831949"
MOZ,Mozambique,MZ,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"14,2128776"
MOZ,Mozambique,MZ,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-380,1636744"
MOZ,Mozambique,MZ,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-8,237479035"
MOZ,Mozambique,MZ,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
NAM,Namibia,NA,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
NAM,Namibia,NA,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
NAM,Namibia,NA,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"2435,761541"
NAM,Namibia,NA,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,0
NAM,Namibia,NA,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"1336,928907"
NAM,Namibia,NA,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"377,6324555"
NAM,Namibia,NA,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"959,296452"
NAM,Namibia,NA,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"662,552333"
NAM,Namibia,NA,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"205,5041376"
NAM,Namibia,NA,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"457,0481954"
NAM,Namibia,NA,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"1711,642051"
NAM,Namibia,NA,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"1541,920358"
NAM,Namibia,NA,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,0
NAM,Namibia,NA,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,0
NAM,Namibia,NA,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,0
NAM,Namibia,NA,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,0
NAM,Namibia,NA,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,0
NAM,Namibia,NA,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,0
NAM,Namibia,NA,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,0
NAM,Namibia,NA,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,0
NAM,Namibia,NA,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,0
NAM,Namibia,NA,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,0
NAM,Namibia,NA,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,0
NAM,Namibia,NA,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,0
NAM,Namibia,NA,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,0
NAM,Namibia,NA,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,0
NAM,Namibia,NA,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,0
NAM,Namibia,NA,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,0
NAM,Namibia,NA,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
NER,Niger,NE,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
NER,Niger,NE,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
NER,Niger,NE,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"1513,745704"
NER,Niger,NE,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"2508,47715"
NER,Niger,NE,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"2143,127545"
NER,Niger,NE,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"260,3180541"
NER,Niger,NE,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"1882,809491"
NER,Niger,NE,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"705,2252716"
NER,Niger,NE,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"577,012406"
NER,Niger,NE,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"128,2128656"
NER,Niger,NE,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"616,7171635"
NER,Niger,NE,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"956,550543"
NER,Niger,NE,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"85,43540231"
NER,Niger,NE,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"10,3775334"
NER,Niger,NE,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"75,05786891"
NER,Niger,NE,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"28,11368131"
NER,Niger,NE,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"23,00249799"
NER,Niger,NE,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"5,111183317"
NER,Niger,NE,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"24,58532116"
NER,Niger,NE,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"38,13271901"
